printer_id,manufacturer_id,manufacturer_name,model_name,model_family,release_year,last_known_sale_year,lifecycle_status,printer_category,printer_kinematics,bed_motion_type,manufacturer_country,manufacturer_website,variant_names,bed_core.bed_core_type,bed_core.bed_core_material,bed_core.bed_core_thickness_mm,bed_core.heater_type,bed_core.heater_voltage_v,bed_core.heater_power_w,bed_core.max_bed_temp_c,bed_core.known_thermal_warp_issue,bed_core.confidence,bed_core.source_ids,build_surface.stock_build_surface,build_surface.removable_plate,build_surface.flexible_plate,build_surface.build_plate_material,build_surface.coating_material,build_surface.magnetic_layer,build_surface.magnetic_layer_material,build_surface.plate_thickness_mm,build_surface.known_flatness_effect,build_surface.confidence,build_surface.source_ids,bed_mounting.bed_mount_type,bed_mounting.mount_count,bed_mounting.adjustable_bed,bed_mounting.manual_bed_screws,bed_mounting.spring_loaded,bed_mounting.silicone_spacers,bed_mounting.rigid_standoffs,bed_mounting.spacer_material,bed_mounting.spring_material,bed_mounting.bed_carriage_type,bed_mounting.confidence,bed_mounting.source_ids,bed_fasteners.screw_count,bed_fasteners.screw_location_pattern,bed_fasteners.screw_thread_size,bed_fasteners.screw_pitch_mm,bed_fasteners.screw_material,bed_fasteners.wheel_material,bed_fasteners.adjustment_access,bed_fasteners.clockwise_effect_known,bed_fasteners.confidence,bed_fasteners.source_ids,z_support.z_axis_count,z_support.z_drive_type,z_support.z_screw_type,z_support.z_synchronisation,z_support.bed_supported_by,z_support.z_tilt_adjustment,z_support.independent_z_motors,z_support.gantry_tramming_method,z_support.confidence,z_support.source_ids,frame_motion.frame_material,frame_motion.gantry_material,frame_motion.linear_motion_type,frame_motion.rail_material,frame_motion.bed_motion_rail_type,frame_motion.thermal_expansion_notes,frame_motion.confidence,frame_motion.source_ids,probe_calibration.probe_type,probe_calibration.auto_bed_levelling,probe_calibration.bed_mesh_supported,probe_calibration.nozzle_contact_probe,probe_calibration.load_cell,probe_calibration.strain_gauge,probe_calibration.inductive_probe,probe_calibration.capacitive_probe,probe_calibration.BLTouch_CRtouch_style,probe_calibration.eddy_current_probe,probe_calibration.optical_probe,probe_calibration.lidar_probe,probe_calibration.probe_interacts_with_surface_material,probe_calibration.z_offset_auto,probe_calibration.calibration_notes,probe_calibration.confidence,probe_calibration.source_ids,chamber_thermal.enclosure_type,chamber_thermal.chamber_heated,chamber_thermal.chamber_max_temp_c,chamber_thermal.active_chamber_heater,chamber_thermal.chamber_sensor,chamber_thermal.thermal_stability_notes,chamber_thermal.confidence,chamber_thermal.source_ids,app_calibration_mapping.recommended_mount_preset,app_calibration_mapping.recommended_max_step_turns,app_calibration_mapping.recommended_hot_mesh,app_calibration_mapping.bed_material_warning,app_calibration_mapping.mount_material_warning,app_calibration_mapping.probe_material_interaction_warning,app_calibration_mapping.expected_adjustment_repeatability,app_calibration_mapping.suggested_solver_mode,app_calibration_mapping.confidence,app_calibration_mapping.source_ids,research_gaps.missing_fields,research_gaps.recommended_follow_up,flatness_impacts,combined_source_ids
P001,M001,Bambu Lab,X1 Carbon,X1 Series,2022,2026,current,prosumer,CoreXY,moving Z bed,-,bambulab.com,X1C Combo,heated bed under flexible steel plate,-,-,-,110/220,-,110/120,-,medium,S001;S002,Cool Plate / Engineering Plate on flexible plate system,yes,yes,flexible steel plate,cool/engineering plate surfaces; high-temp plate optional,yes,-,-,Surface choice changes probe interaction and first-layer behaviour,high,S001;S002,fixed heated-bed mount,-,no,no,no,no,yes,-,-,moving Z bed,medium,S001;S002,-,-,-,-,-,-,none,no,medium,S001;S002,-,-,-,-,moving heated bed,no,-,factory fixed + mesh,low,S002,steel chassis,-,corexy belt motion,-,moving Z guides not disclosed,Enclosed shell raises sensitivity to warm-soak drift,high,S002,lidar,yes,yes,no,no,no,no,no,no,no,no,yes,yes; alternative plates must remain LiDAR-compatible,yes,Dual ABL cross-checks LiDAR and analogue force sensors,high,S001,enclosed,no,-,no,-,Enclosed system benefits from thermal soak; plate changes can shift LiDAR/nozzle interaction,medium,S001;S002,fixed bed,0,yes,Flexible steel plate plus surface choice; inspect magnet debris,Fixed mount; no screw-turn workflow,LiDAR and force-sensor workflow depends on approved plate stack,high,fixed-bed-mesh,medium,S001;S002,bed_core_material; thickness; mount_count; spacer_material; screw_pitch_mm,"Pull service manuals, exploded views and spare-part SKUs",probe hardware: probing bias (high),S001;S002
P002,M001,Bambu Lab,A1,A1 Series,2023,2026,current,hobby,bedslinger Cartesian,moving Y bed,-,bambulab.com,A1 Combo,heated bed under PEI plate,-,-,-,-,-,100,-,medium,S003,Textured PEI Plate,yes,yes,spring steel,PEI,yes,-,-,Plate changes can alter first-layer bias if not recalibrated,high,S003,fixed heated-bed mount,-,no,no,no,no,yes,-,-,moving Y bed,medium,S003,-,-,-,-,-,-,none,no,medium,S003,-,-,-,-,moving heated bed,no,-,full-auto calibration,low,S003,-,-,-,-,moving Y bed,Open frame reduces chamber-warm effects,low,S003,nozzle contact,yes,yes,yes,no,no,no,no,no,yes,no,no,yes; nozzle-contact depends on clean nozzle and plate state,yes,"A1 performs auto Z-offset, bed-level, resonance and flow calibration; eddy sensor is used for flow dynamics",high,S003,open,no,n/a,no,camera only,Open-frame calibration is less chamber-biased and more draft-sensitive,high,S003,fixed bed,0,yes,PEI flex plate can trap debris under sheet,Fixed mount; no screw-turn workflow,Nozzle-contact probing requires clean nozzle and plate,medium-high,fixed-bed-mesh,medium,S003,mount_count; fastener details; spacer stack,Acquire service manual and part catalogue,probe hardware: mesh repeatability (high),S003
P003,M002,Prusa Research,Original Prusa MK4S,MK4 family,2024,2026,current,prosumer,bedslinger Cartesian,moving Y bed,Czech Republic,prusa3d.com,MK4S Kit; MK4S Assembled,magnetic heatbed,-,-,-,-,-,-,-,medium,S006;S007,removable double-sided flexible spring-steel sheet,yes,yes,spring steel,smooth PEI / satin powder coat / textured powder coat by sheet,yes,embedded magnets in heatbed,-,Sheet type changes adhesion and nozzle contact behaviour,high,S007;S020,fixed bed mount,-,no,no,no,no,yes,-,-,moving Y bed,medium,S005;S006,-,-,-,-,-,-,none,no,medium,S006,2,threaded + smooth rods,threaded rods,dual motors,moving heated bed,no,yes,loadcell + mesh,high,S007,-,-,smooth rods,steel rods,moving Y bed guides,Hot-bed-only system still benefits from hot mesh in practice,medium,S007,load cell,yes,yes,yes,yes,no,no,no,no,no,no,no,low,yes,Loadcell replaces manual first-layer/live-Z workflow,high,S006,open,no,n/a,no,-,Stock MK4S is open; enclosure is a separate ecosystem item,medium,S005;S007,fixed bed,0,yes,Magnetic steel sheet type affects contact/adhesion,Fixed mount; no screw-turn workflow,Loadcell/nozzle-contact style needs clean nozzle and sheet,high,loadcell-first-layer,high,S005;S006;S007,bed_core_material; thickness; heater stack,Use assembly manual PDF and spare-part pages in next pass,probe hardware: user adjustment repeatability (high),S005;S006;S007;S020
P004,M003,Creality,Ender-3 V3 KE,Ender-3 V3 family,2023,2026,current,hobby,bedslinger Cartesian,moving Y bed,-,creality.com,-,heated bed,-,-,-,-,350,100,-,medium,S010;S011,PEI,yes,yes,spring steel,PEI,yes,soft magnetic sticker implied by official accessory,-,Debris under flex plate can create local mesh error,medium,S010;S011,fixed heated-bed mount,-,-,-,-,-,-,-,-,moving Y bed,low,S010;S011,-,-,-,-,-,-,-,-,low,S010;S011,-,-,-,-,moving heated bed,-,-,CR-Touch mesh,low,S011,-,-,X-axis linear rail,steel linear rail,moving Y bed,Open frame gives low chamber thermal bias,medium,S011,BLTouch/CRTouch,yes,yes,no,no,no,no,no,yes,no,no,no,low,yes,User manual explicitly states CR-Touch auto levelling,high,S011,open,no,n/a,no,-,Open bedslinger; hot mesh still useful at higher bed temps,low,S010;S011,unknown,0.25,yes,PEI flex-plate debris warning,Stock mount details not public; do not assume spring/silicone stack,CR-Touch is surface-independent compared with inductive-only systems,medium,mesh-plus-babystep,medium,S010;S011,manual_bed_screws; screw_thread_size; spacer_material,Use service parts and teardown corroboration,build surface: thermal expansion (medium),S010;S011
P005,M004,QIDI Tech,Q1 Pro,Q1 family,2024,2026,current,prosumer,CoreXY,moving Z bed,-,qidi3d.com,-,aluminium substrate heating bed,aluminium substrate,-,-,100-240,-,120,-,high,S013,Dual-sided textured PEI plate,yes,yes,steel plate,PEI,yes,-,-,Flex-plate debris and magnet uniformity matter,high,S013,fixed heated-bed mount,-,no,no,no,no,yes,-,-,moving Z bed,medium,S013,-,-,-,-,-,-,none,no,low,S013,2,dual lead screw motors,lead screws,independent dual motors,moving heated bed,automatic tilt levelling,yes,hands-free automatic levelling,high,S013,-,-,high-hardness linear hollow steel shafts,steel shafts,moving Z bed,Warm soak matters more than open bedslingers,high,S013,unknown,yes,yes,-,no,no,-,-,no,no,no,no,unknown,yes,Official sources call out hands-free auto levelling and dual-sensor ABL without full sensor naming,medium,S013,enclosed,yes,60,yes,yes,Active chamber heating materially improves repeatability for warp-prone polymers,high,S013,fixed bed,0,yes,Dual-sided PEI plate seating matters,Fixed mount; no screw-turn workflow,Dual-sensor ABL reduces but does not eliminate plate-stack bias,high,heated-chamber-mesh,high,S013,exact probe materials; bed fasteners,Pull maintenance/service docs,chamber / bed core: thermal gradient (high),S013
P006,M005,Sovol,SV08,SV family,2024,2026,current,prosumer,CoreXY,fixed bed,-,sovol3d.com,-,AC heated bed under PEI steel plate,-,-,AC heated bed,-,150,100,-,medium,S015,PEI steel plate,yes,yes,steel plate,PEI,yes,flexible magnetic print plate kit indicates magnetic layer,-,PEI plate seating affects mesh and QGL,high,S015,fixed bed; gantry-levelled,-,no,no,no,no,yes,-,-,fixed bed,high,S015,-,-,-,-,-,-,none,no,medium,S015,4,quad motor gantry lift,-,four independent Z motors,fixed bed,quad gantry levelling,yes,QGL,high,S015,-,-,CoreXY + full linear rails in official blog; product page corexy,steel rails,fixed bed,Open frame reduces chamber heat drift but increases draft sensitivity,medium,S015,inductive,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,Official product page lists inductive sensor & pressure sensor; QGL is separate gantry routine,high,S015,open,no,n/a,no,-,"Fixed bed avoids moving-bed chamber disturbance, but open frame is draft-sensitive",medium,S015,fixed bed,0,yes,PEI sheet seating and bed cleanliness matter,No bed-screw workflow; QGL is gantry correction,Inductive + pressure sensor stack means metallic plate and nozzle state both matter,high,qgl-plus-mesh,high,S015,bed-core material; exact plate/magnet layer; revision deltas,Scrape official parts list and GitHub/Klipper configs,Z support: Z-axis synchronisation (high),S015
P007,M006,UltiMaker,S5,S line,2018,2026,current,professional,Cartesian gantry,moving Z bed,-,ultimaker.com,-,heated build plate under glass,-,-,-,-,-,-,-,medium,S016,glass build plate,yes,no,glass,bare/treated glass,no,n/a,-,Glass discourages aggressive corner-forcing adjustments,high,S016,heated bed with removable glass plate,clips,no,no,no,no,yes,-,-,moving Z bed,medium,S016,-,-,-,-,-,-,none,no,medium,S016,-,-,-,-,moving heated bed,automatic levelling compensation,-,advanced active levelling,low,S016,-,-,Cartesian gantry,-,moving Z bed,Glass and open frame reduce magnetic-stack variables,medium,S016,capacitive,yes,yes,no,no,no,no,yes,no,no,no,no,yes; glass is the calibrated datum,yes,Advanced active levelling scans multiple points with capacitive sensor,high,S016,open,no,n/a,no,-,No enclosed heated chamber in stock cited source,medium,S016,fixed bed,0,yes,Glass surface: avoid forcing corners; use minimal corrective intervention,Fixed mount,Capacitive scan references glass surface directly,high,glass-active-level,medium,S016,heater stack; sub-bed material; clip hardware details,Use service manual and part catalogue,build surface/probe: probing bias (medium),S016
P008,M002,Prusa Research,Prusa Pro HT90,HT line,2023,2026,current,professional,Delta,fixed bed,Czech Republic,prusa3d.com,-,magnetic heatbed,-,-,-,-,-,155,-,medium,S009,satin powder-coated print sheet,yes,yes,spring steel,satin powder coat,yes,embedded magnets in heatbed,-,High-temp sheet changes thermal lag vs bare bed,high,S009,fixed magnetic bed,-,no,no,no,no,yes,-,-,fixed bed,medium,S009,-,-,-,-,-,-,none,no,medium,S009,3,delta tower motion,delta linear systems,coordinated delta kinematics,fixed bed,no,n/a,three loadcell sensors for first layer,medium,S009,-,light delta motion system,delta kinematics,-,fixed bed,Chamber heat is a first-order variable for calibration repeatability,high,S009,load cell,yes,yes,yes,yes,no,no,no,no,no,no,no,low,yes,Three high-precision loadcell sensors measure nozzle-to-sheet distance,high,S009,enclosed,yes,90,yes,yes,Actively heated chamber is one of the dominant repeatability variables on HT90,high,S009,fixed bed,0,yes,Magnetic spring-steel sheet in 90 °C chamber needs full soak,Fixed bed; no screw-turn workflow,Loadcell/nozzle-contact requires clean nozzle,high,heated-chamber-loadcell,high,S009,bed core material; sheet thickness; frame materials,Use detailed downloads/brochure pass,chamber: thermal expansion (high),S009
P009,M008,BigRep,ONE.5X,ONE family,2024,2026,current,industrial,gantry extrusion,unknown,Germany,bigrep.com,-,heated removable print surface system,-,-,-,208-240,-,80,-,medium,S020,SWITCHPLATE removable print surface,yes,-,-,two surface options,-,-,-,Large removable surface improves part removal but needs clean seating,medium,S020,assisted-level removable-surface mount,-,yes,-,-,-,-,-,-,unknown,low,S020,-,-,-,-,-,-,-,-,low,S020,-,-,-,-,unknown,adaptive levelling,-,autocalibration,low,S020,robust industrial frame,-,industrial gantry,-,unknown,Large-format warm-up and plate seating dominate,medium,S020,unknown,yes,yes,-,no,no,-,-,no,no,no,no,unknown,-,BigRep documents autocalibration and adaptive mesh bed levelling but not probe family in cited source,medium,S020,open industrial frame,no,n/a,no,-,Large-format open architecture emphasises bed prep and ambient control,medium,S020,-,-,-,-,-,-,-,-,-,-,SWITCHPLATE material construction; sensor stack; platform mounts,Use brochure and replacement-part documentation,large-format bed stack: flatness baseline (medium),S020
P010,M009,Modix,BIG-60 v4,BIG family,2024,2026,current,industrial,Cartesian gantry,moving Z bed,-,modix3d.com,BIG-60 IDEX; BIG-60 Enclosed,heated bed,Alcoa Mic-6 cast aluminium,6.35,dual AC heater,-,2740,120/130,-,high,S021,PEI film on bed by default,no,no,n/a,PEI film with 3M high-temp adhesive,optional,adhesive magnetic sheet on upgrade,-,Stock adhesive PEI is slower to service than removable bed,high,S021,motorised bed-tilt platform,4,automatic,no,no,no,yes,-,-,moving Z bed,high,S021,4 motor-driven ball-screw stations,rectangular Z-corner pattern,-,-,-,-,automatic,no,high,S021,4,ball-nut screws with stepper/belt gear system,ball-nut screws,dedicated motor per screw,moving heated bed,automatic,yes,automatic bed tilt levelling,high,S021,30-series aluminium extrusion,-,large-format belt/rail system,Hiwin rails optional in family docs,moving Z bed,Large bed size makes thermal gradient management critical,medium,S021,BLTouch/CRTouch,yes,yes,no,no,no,no,no,yes,no,no,no,low,yes,Automatic bed shape probing over ~200 points and automatic bed tilt levelling,high,S021,optional enclosure,optional,-,optional,-,Enclosure is optional; calibration regime depends heavily on whether enclosure is fitted,medium,S021,fixed bed,0,yes,Large PEI surfaces magnify debris effects,Automatic tilt levelling; no hand-turn workflow,BLTouch-class probes need good mount rigidity over large spans,medium,auto-tilt-large-format,high,S021,final v4 stock-vs-optional separation by region; exact rail option on shipped config,Cross-check final configurator snapshot and BOM,bed support: flatness baseline (high),S021
