table_key,original_name,columns,row_count,order,parse_note,merge_note
manufacturers,Table 1: Manufacturers,"[""manufacturer_id"", ""manufacturer_name"", ""parent_company"", ""country"", ""website"", ""active_status"", ""years_active_known"", ""product_categories"", ""notes"", ""source_ids""]",14,1,-,-
printer_models,Table 2: Printer Models,"[""printer_id"", ""manufacturer_id"", ""manufacturer_name"", ""model_name"", ""model_family"", ""release_year"", ""last_known_sale_year"", ""lifecycle_status"", ""printer_category"", ""printer_kinematics"", ""bed_motion_type"", ""official_product_url"", ""official_manual_url"", ""notes"", ""source_ids""]",11,2,-,-
printer_variants,Table 3: Printer Variants,"[""variant_id"", ""printer_id"", ""variant_name"", ""variant_type"", ""release_year"", ""key_hardware_difference"", ""bed_stack_difference"", ""levelling_difference"", ""source_ids""]",6,3,-,-
bed_core,Table 4: Bed Plate / Heated Bed Core,"[""bed_core_id"", ""printer_id"", ""variant_id"", ""bed_core_type"", ""bed_core_material"", ""bed_core_thickness_mm"", ""bed_core_manufacturing_method"", ""heater_type"", ""heater_voltage_v"", ""heater_power_w"", ""max_bed_temp_c"", ""bed_thermistor_type"", ""bed_sensor_location"", ""thermal_insulation_under_bed"", ""known_thermal_warp_issue"", ""notes"", ""confidence"", ""source_ids""]",11,4,-,-
build_surface,Table 5: Build Surface / Removable Plate Stack,"[""build_surface_id"", ""printer_id"", ""variant_id"", ""stock_build_surface"", ""removable_plate"", ""flexible_plate"", ""build_plate_material"", ""coating_material"", ""magnetic_layer"", ""magnetic_layer_material"", ""adhesive_layer_known"", ""plate_thickness_mm"", ""reversible_plate"", ""alternative_official_plates"", ""known_flatness_effect"", ""notes"", ""confidence"", ""source_ids""]",11,5,-,-
bed_mounting,Table 6: Bed Mounting System,"[""bed_mount_id"", ""printer_id"", ""variant_id"", ""bed_mount_type"", ""mount_count"", ""adjustable_bed"", ""manual_bed_screws"", ""levelling_wheels"", ""spring_loaded"", ""silicone_spacers"", ""rigid_standoffs"", ""kinematic_mount"", ""shimmed_mount"", ""mount_material"", ""spacer_material"", ""spring_material"", ""bed_carrier_material"", ""bed_carriage_type"", ""notes"", ""confidence"", ""source_ids""]",11,6,-,-
bed_fasteners,Table 7: Bed Screws / Fasteners / Adjustment Hardware,"[""bed_fastener_id"", ""printer_id"", ""variant_id"", ""screw_count"", ""screw_location_pattern"", ""screw_thread_size"", ""screw_pitch_mm"", ""screw_material"", ""nut_material"", ""insert_material"", ""wheel_material"", ""adjustment_access"", ""clockwise_effect_known"", ""backlash_or_slop_notes"", ""notes"", ""confidence"", ""source_ids""]",11,7,-,-
z_support,Table 8: Z-Axis and Bed Support Structure,"[""z_support_id"", ""printer_id"", ""variant_id"", ""z_axis_count"", ""z_drive_type"", ""z_screw_type"", ""z_screw_material"", ""z_synchronisation"", ""bed_supported_by"", ""bed_carriage_material"", ""z_frame_material"", ""anti_backlash_nuts"", ""z_tilt_adjustment"", ""independent_z_motors"", ""gantry_tramming_method"", ""notes"", ""confidence"", ""source_ids""]",11,8,-,-
frame_motion,Table 9: Frame / Gantry / Motion Materials,"[""frame_id"", ""printer_id"", ""variant_id"", ""frame_material"", ""gantry_material"", ""linear_motion_type"", ""rail_material"", ""wheel_material"", ""bed_motion_rail_type"", ""frame_enclosure_material"", ""stiffness_notes"", ""thermal_expansion_notes"", ""confidence"", ""source_ids""]",10,9,-,-
probe_calibration,Table 10: Probing and Calibration Hardware,"[""probe_id"", ""printer_id"", ""variant_id"", ""auto_bed_levelling"", ""bed_mesh_supported"", ""probe_type"", ""probe_mount_location"", ""probe_offsets_known"", ""nozzle_contact_probe"", ""load_cell"", ""strain_gauge"", ""inductive_probe"", ""capacitive_probe"", ""BLTouch_CRtouch_style"", ""eddy_current_probe"", ""optical_probe"", ""lidar_probe"", ""probe_interacts_with_surface_material"", ""z_offset_auto"", ""axis_twist_compensation_available"", ""calibration_notes"", ""confidence"", ""source_ids""]",11,10,Recovered from malformed Markdown-like paragraph in DOCX,-
chamber_thermal,Table 11: Chamber / Thermal Environment,"[""chamber_id"", ""printer_id"", ""variant_id"", ""enclosure_type"", ""chamber_heated"", ""chamber_max_temp_c"", ""active_chamber_heater"", ""passive_chamber_heat"", ""chamber_sensor"", ""chamber_sensor_type"", ""insulation_material"", ""door_panel_material"", ""side_panel_material"", ""top_panel_material"", ""thermal_stability_notes"", ""confidence"", ""source_ids""]",11,11,-,-
official_upgrades,Table 12: Official Component Upgrades Affecting Flatness,"[""official_upgrade_id"", ""printer_id"", ""variant_id"", ""upgrade_name"", ""upgrade_category"", ""upgraded_component"", ""original_material"", ""upgraded_material"", ""effect_on_flatness"", ""effect_on_temperature_stability"", ""effect_on_mount_response"", ""compatibility"", ""release_year"", ""official_url"", ""notes"", ""confidence"", ""source_ids""]",5,12,-,-
third_party_upgrades,Table 13: Reputable Third-Party / Community Upgrades Affecting Flatness,"[""third_party_upgrade_id"", ""printer_id"", ""variant_id"", ""upgrade_name"", ""upgrade_category"", ""vendor_or_project"", ""original_component"", ""upgraded_component"", ""upgraded_material"", ""effect_claimed"", ""risk_level"", ""evidence_type"", ""notes"", ""confidence"", ""source_ids""]",3,13,-,-
material_properties,Table 14: Material Properties Reference,"[""material_id"", ""material_name_standardised"", ""material_category"", ""density_g_cm3"", ""youngs_modulus_gpa"", ""thermal_conductivity_w_mk"", ""coefficient_thermal_expansion_um_m_c"", ""max_service_temp_c"", ""creep_risk"", ""compression_set_risk"", ""magnetic"", ""corrosion_risk"", ""notes"", ""source_ids""]",8,14,-,-
app_calibration_mapping,Table 15: Application Calibration Mapping,"[""app_mapping_id"", ""printer_id"", ""variant_id"", ""recommended_mount_preset"", ""recommended_max_step_turns"", ""recommended_hot_mesh"", ""recommended_cold_mesh_warning"", ""bed_material_warning"", ""mount_material_warning"", ""probe_material_interaction_warning"", ""expected_adjustment_repeatability"", ""suggested_solver_mode"", ""notes"", ""confidence"", ""source_ids""]",10,15,-,-
source_evidence,Table 16: Source Evidence,"[""source_id"", ""manufacturer_id"", ""printer_id"", ""variant_id"", ""component_area"", ""source_type"", ""source_title"", ""source_url"", ""publisher"", ""retrieval_date"", ""archived_url"", ""notes""]",24,16,-,-
research_gaps,Table 17: Research Gaps and Confidence,"[""printer_id"", ""variant_id"", ""component_area"", ""missing_fields"", ""confidence"", ""reason"", ""recommended_follow_up""]",11,17,-,-
flatness_impact,Table 18: Flatness Impact Classification,"[""impact_id"", ""printer_id"", ""variant_id"", ""component_area"", ""component_name"", ""impact_category"", ""impact_level"", ""rationale_short"", ""confidence"", ""source_ids""]",12,18,-,-
