source_id,manufacturer_id,printer_id,variant_id,component_area,source_type,source_title,source_url,publisher,retrieval_date,archived_url,notes
S001,M001,P001,-,product/spec/probe,official product page,Bambu Lab X1C 3D Printer,https://eu.store.bambulab.com/en/products/x1-carbon,Bambu Lab,2026-04-19,-,"Product features, dual ABL, LiDAR language"
S002,M001,P001,-,bed/frame/build plate,official technical specification,Bambu Lab X1-Carbon Technical Specifications,https://public-cdn.bambulab.com/store/bambulab-X1-carbon-tech-specs.pdf,Bambu Lab,2026-04-19,-,"Chassis steel, shell aluminium & glass, flexible steel plate"
S003,M001,P002,V002,product/spec/probe,official product page,Bambu Lab A1 3D Printer,https://uk.store.bambulab.com/products/a1,Bambu Lab,2026-04-19,-,"Full-auto calibration, plate options, max bed temp"
S004,M001,-,-,manufacturer/product-family,official technical specification,Bambu Lab A1 mini Technical Specifications,https://bambulab.com/ru/a1-mini/tech-specs,Bambu Lab,2026-04-19,-,Used for family cross-check and build-plate ecosystem
S005,M002,P003,V003/V004,product/spec,official product page,Original Prusa MK4S 3D Printer,https://www.prusa3d.com/en/product/original-prusa-mk4s-3d-printer/,Prusa Research,2026-04-19,-,MK4S product context and lifecycle
S006,M002,P003,V003/V004,probe/calibration,official support page,"Loadcell (MK4/S, MK3.9/S, XL)",https://help.prusa3d.com/article/loadcell-mk4-s-mk3-9-s-xl_401253,Prusa Research,2026-04-19,-,Loadcell first-layer workflow
S007,M002,P003,V003/V004,bed/sheets/motion,official KB and store pages,MK4S printer features + Prusa print-sheet pages,https://help.prusa3d.com/product/mk4s/printer-features_224 ; https://www.prusa3d.com/product/smooth-pei-steel-sheet/ ; https://www.prusa3d.com/product/satin-powder-coated-print-sheet/,Prusa Research,2026-04-19,-,"Magnetic heatbed, removable steel sheets, sheet constructions"
S008,M002,-,-,manufacturer/product page,official product page,CORE One+,https://www.prusa3d.com/core-one/,Prusa Research,2026-04-19,-,Used for manufacturer universe and chamber context
S009,M002,P008,-,product/chamber/probe,official product page,Prusa Pro HT90,https://www.prusa3d.com/en/product/prusa-pro-ht90/,Prusa Research,2026-04-19,-,"Heated chamber, bed temp, delta kinematics, loadcell system"
S010,M003,P004,-,product-compare/build surface,official compare page,Creality compare page,https://store.creality.com/eu/pages/compare,Creality,2026-04-19,-,"Ender-3 V3 KE build volume, PEI, bed temp"
S011,M003,P004,-,manual/probe,official manual,Ender-3 V3 KE User Manual,https://wiki.creality.com/products/diy/ender%E7%B3%BB%E5%88%97/ender-3v3-ke/%E5%A4%9A%E8%AF%AD%E7%A7%8D%E8%AF%B4%E6%98%8E%E4%B9%A6/ender-3_v3_ke-sm-001__user_manual%EF%BC%88es%EF%BC%89.pdf,Creality,2026-04-19,-,CR-Touch and technical parameter confirmation
S012,M010,-,-,manufacturer/product,official product page,Anycubic Kobra 3 Combo,https://store.anycubic.com/collections/fdm-printer/products/kobra-3-combo,Anycubic,2026-04-19,-,"Researched for later tranche, not deeply normalised here"
S013,M004,P005,-,product/spec/chamber,official tech specs and product pages,Q1 Pro specifications,https://uk.qidi3d.com/products/q1-pro-3d-printer ; https://qidi3d.com/products/q1-pro-3d-printer,QIDI Tech,2026-04-19,-,"Aluminium substrate bed, PEI plate, 60 °C chamber"
S014,M011,-,-,manufacturer/product,official product page,Flashforge Adventurer 5M Pro,https://www.flashforge.com/products/adventurer-5m-pro,Flashforge,2026-04-19,-,"Researched for later tranche, not deeply normalised here"
S015,M005,P006,-,product/spec/probe/Z,official product page,Sovol SV08 3D Printer,https://www.sovol3d.com/products/sovol-sv08-3d-printer,Sovol,2026-04-19,-,"Four Z motors, fixed-bed CoreXY, inductive + pressure sensor"
S016,M006,P007,-,product/build plate/probe,official product page,UltiMaker S5,https://ultimaker.com/3d-printers/ultimaker-s5,UltiMaker,2026-04-19,-,"Glass build plate, advanced active levelling with capacitive sensor"
S017,M012,-,-,product/support,official product page + support page,Raise3D Pro3 HS Series + How to Level the Bed,https://www.raise3d.com/raise3d-pro3-hs-series/ ; https://support.raise3d.com/Pro3-Series/how-to-level-the-bed-26-1466.html,Raise3D,2026-04-19,-,Researched for later tranche; support page exposes 9 bed screws
S018,M007,P011,-,product/platform levelling,official product page,ELEGOO Saturn 4 Ultra,https://uk.elegoo.com/pages/elegoo-saturn-4-ultra,Elegoo,2026-04-19,-,"One-click automatic levelling, mechanical sensor"
S019,M007,P011,-,build plate/platform stack,official replacement-part page,Build Plate for Saturn 4 & Saturn 4 Ultra,https://www.elegoo.com/en-gb/collections/resin-3d-printers-accessories/products/build-plate-for-saturn-4-saturn-4-ultra,Elegoo,2026-04-19,-,"Aluminium alloy, built-in levelling shims and springs"
S020,M008,P009,-,product/bed surface/automation,official product + specs page,BigRep ONE.5X + technical specifications,https://bigrep.com/bigrep-one/ ; https://bigrep.com/bigrep-one/technical-specifications,BigRep,2026-04-19,-,"SWITCHPLATE, heated removable surface, autocalibration"
S021,M009,P010,V005/V006,product/specs/upgrades,official tech-spec and product pages,Modix generation 4 technical specifications,https://www.modix3d.com/tech-specs/ ; https://www.modix3d.com/product/modix-big-60-single-print-head/ ; https://www.modix3d.com/product/removeable-magnetic-bed-big60-120z/,Modix,2026-04-19,-,"Cast aluminium bed, BLTouch probing, magnetic-bed add-on"
