build_surface_id,printer_id,variant_id,stock_build_surface,removable_plate,flexible_plate,build_plate_material,coating_material,magnetic_layer,magnetic_layer_material,adhesive_layer_known,plate_thickness_mm,reversible_plate,alternative_official_plates,known_flatness_effect,notes,confidence,source_ids
BS001,P001,-,Cool Plate / Engineering Plate on flexible plate system,yes,yes,flexible steel plate,cool/engineering plate surfaces; high-temp plate optional,yes,-,-,-,-,High Temperature Plate,Surface choice changes probe interaction and first-layer behaviour,X1C sources state flexible steel plate with included surface options,high,S001;S002
BS002,P002,-,Textured PEI Plate,yes,yes,spring steel,PEI,yes,-,-,-,-,Smooth PEI; Dual-Texture PEI; High Temperature Plate; Cool Plate,Plate changes can alter first-layer bias if not recalibrated,Official A1 page lists multiple compatible plates,high,S003
BS003,P003,V003/V004,removable double-sided flexible spring-steel sheet,yes,yes,spring steel,smooth PEI / satin powder coat / textured powder coat by sheet,yes,embedded magnets in heatbed,PEI sticker on smooth sheet known,-,yes,Smooth PEI; Satin; Textured,Sheet type changes adhesion and nozzle contact behaviour,Smooth sheet uses PEI sticker; satin/textured use coated surfaces,high,S007;S020
BS004,P004,-,PEI,yes,yes,spring steel,PEI,yes,soft magnetic sticker implied by official accessory,-,-,yes,Smooth PEI build plate,Debris under flex plate can create local mesh error,Official replacement plates distinguish PEI plate from magnetic sticker,medium,S010;S011
BS005,P005,-,Dual-sided textured PEI plate,yes,yes,steel plate,PEI,yes,-,-,-,yes,-,Flex-plate debris and magnet uniformity matter,Officially named dual-sided textured PEI plate,high,S013
BS006,P006,-,PEI steel plate,yes,yes,steel plate,PEI,yes,flexible magnetic print plate kit indicates magnetic layer,-,-,-,official PEI print plate kit,PEI plate seating affects mesh and QGL,Product and official accessory pages confirm PEI steel plate system,high,S015
BS007,P007,-,glass build plate,yes,no,glass,bare/treated glass,no,n/a,n/a,-,no,-,Glass discourages aggressive corner-forcing adjustments,Active levelling measures glass directly,high,S016
BS008,P008,-,satin powder-coated print sheet,yes,yes,spring steel,satin powder coat,yes,embedded magnets in heatbed,-,-,yes,HT90 Satin sheet variants only publicly captured in this pass,High-temp sheet changes thermal lag vs bare bed,HT90 ecosystem documents magnetic sheet and satin sheet,high,S009
BS009,P009,-,SWITCHPLATE removable print surface,yes,-,-,two surface options,-,-,-,-,-,two surface options,Large removable surface improves part removal but needs clean seating,"Source names removable SWITCHPLATE and two surface options, not sheet materials",medium,S020
BS010,P010,-,PEI film on bed by default,no,no,n/a,PEI film with 3M high-temp adhesive,optional,adhesive magnetic sheet on upgrade,yes,-,no,optional removable magnetic bed with PEI smooth/textured spring steel,Stock adhesive PEI is slower to service than removable bed,Official spec separates stock PEI film from removable magnetic-bed add-on,high,S021
BS011,P011,-,dual-sided black sandblasted laser-carved build plate,yes,no,aluminium alloy build plate,sandblasted laser-carved texture,no,n/a,n/a,-,yes,-,Texture affects resin adhesion and release force,Resin platform is reversible and auto-level compatible,high,S019
