app_mapping_id,printer_id,variant_id,manufacturer_name,model_name,printer_kinematics,bed_motion_type,bed_core.bed_core_material,bed_core.bed_core_type,bed_core.max_bed_temp_c,build_surface.build_plate_material,build_surface.stock_build_surface,build_surface.magnetic_layer,bed_mounting.bed_mount_type,bed_mounting.spring_loaded,bed_mounting.silicone_spacers,bed_mounting.rigid_standoffs,bed_fasteners.screw_count,bed_fasteners.screw_pitch_mm,bed_fasteners.adjustment_access,probe_calibration.probe_type,probe_calibration.probe_interacts_with_surface_material,chamber_thermal.chamber_heated,chamber_thermal.chamber_max_temp_c,recommended_mount_preset,recommended_max_step_turns,recommended_hot_mesh,recommended_cold_mesh_warning,bed_material_warning,mount_material_warning,probe_material_interaction_warning,expected_adjustment_repeatability,suggested_solver_mode,notes,confidence,source_ids
AM001,P001,-,Bambu Lab,X1 Carbon,CoreXY,moving Z bed,-,heated bed under flexible steel plate,110/120,flexible steel plate,Cool Plate / Engineering Plate on flexible plate system,yes,fixed heated-bed mount,no,no,yes,-,-,none,lidar,yes; alternative plates must remain LiDAR-compatible,no,-,fixed bed,0,yes,yes,Flexible steel plate plus surface choice; inspect magnet debris,Fixed mount; no screw-turn workflow,LiDAR and force-sensor workflow depends on approved plate stack,high,fixed-bed-mesh,Recalibrate or reconfirm after changing plate surface family,medium,S001;S002
AM002,P002,-,Bambu Lab,A1,bedslinger Cartesian,moving Y bed,-,heated bed under PEI plate,100,spring steel,Textured PEI Plate,yes,fixed heated-bed mount,no,no,yes,-,-,none,nozzle contact,yes; nozzle-contact depends on clean nozzle and plate state,no,n/a,fixed bed,0,yes,yes,PEI flex plate can trap debris under sheet,Fixed mount; no screw-turn workflow,Nozzle-contact probing requires clean nozzle and plate,medium-high,fixed-bed-mesh,Use hot mesh for high bed-temperature engineering prints even though machine is highly automated,medium,S003
AM003,P003,V003/V004,Prusa Research,Original Prusa MK4S,bedslinger Cartesian,moving Y bed,-,magnetic heatbed,-,spring steel,removable double-sided flexible spring-steel sheet,yes,fixed bed mount,no,no,yes,-,-,none,load cell,low,no,n/a,fixed bed,0,yes,yes,Magnetic steel sheet type affects contact/adhesion,Fixed mount; no screw-turn workflow,Loadcell/nozzle-contact style needs clean nozzle and sheet,high,loadcell-first-layer,Prefer fully warmed bed and sheet for repeatable contact probing,high,S005;S006;S007
AM004,P004,-,Creality,Ender-3 V3 KE,bedslinger Cartesian,moving Y bed,-,heated bed,100,spring steel,PEI,yes,fixed heated-bed mount,-,-,-,-,-,-,BLTouch/CRTouch,low,no,n/a,unknown,0.25,yes,yes,PEI flex-plate debris warning,Stock mount details not public; do not assume spring/silicone stack,CR-Touch is surface-independent compared with inductive-only systems,medium,mesh-plus-babystep,"Treat any manual Z tweak as babystep, not bed-screw correction",medium,S010;S011
AM005,P005,-,QIDI Tech,Q1 Pro,CoreXY,moving Z bed,aluminium substrate,aluminium substrate heating bed,120,steel plate,Dual-sided textured PEI plate,yes,fixed heated-bed mount,no,no,yes,-,-,none,unknown,unknown,yes,60,fixed bed,0,yes,yes,Dual-sided PEI plate seating matters,Fixed mount; no screw-turn workflow,Dual-sensor ABL reduces but does not eliminate plate-stack bias,high,heated-chamber-mesh,Do chamber warm-soak before final mesh on warp-prone materials,high,S013
AM006,P006,-,Sovol,SV08,CoreXY,fixed bed,-,AC heated bed under PEI steel plate,100,steel plate,PEI steel plate,yes,fixed bed; gantry-levelled,no,no,yes,-,-,none,inductive,yes,no,n/a,fixed bed,0,yes,yes,PEI sheet seating and bed cleanliness matter,No bed-screw workflow; QGL is gantry correction,Inductive + pressure sensor stack means metallic plate and nozzle state both matter,high,qgl-plus-mesh,"On flying-gantry systems, run QGL before mesh and after heat soak",high,S015
AM007,P007,-,UltiMaker,S5,Cartesian gantry,moving Z bed,-,heated build plate under glass,-,glass,glass build plate,no,heated bed with removable glass plate,no,no,yes,-,-,none,capacitive,yes; glass is the calibrated datum,no,n/a,fixed bed,0,yes,no,Glass surface: avoid forcing corners; use minimal corrective intervention,Fixed mount,Capacitive scan references glass surface directly,high,glass-active-level,Prefer diagnostics over manual compensation when first layer drifts,medium,S016
AM008,P008,-,Prusa Research,Prusa Pro HT90,Delta,fixed bed,-,magnetic heatbed,155,spring steel,satin powder-coated print sheet,yes,fixed magnetic bed,no,no,yes,-,-,none,load cell,low,yes,90,fixed bed,0,yes,yes,Magnetic spring-steel sheet in 90 °C chamber needs full soak,Fixed bed; no screw-turn workflow,Loadcell/nozzle-contact requires clean nozzle,high,heated-chamber-loadcell,Chamber temperature is a first-order calibration variable,high,S009
AM009,P010,V005/V006,Modix,BIG-60 v4,Cartesian gantry,moving Z bed,Alcoa Mic-6 cast aluminium,heated bed,120/130,n/a,PEI film on bed by default,optional,motorised bed-tilt platform,no,no,yes,4 motor-driven ball-screw stations,-,automatic,BLTouch/CRTouch,low,optional,-,fixed bed,0,yes,yes,Large PEI surfaces magnify debris effects,Automatic tilt levelling; no hand-turn workflow,BLTouch-class probes need good mount rigidity over large spans,medium,auto-tilt-large-format,Large-format beds benefit from staged warm-up before tilt and mesh,high,S021
AM010,P011,-,Elegoo,Saturn 4 Ultra,resin Z-lift,resin build platform,aluminium alloy build plate,resin build platform mount stack,n/a,aluminium alloy build plate,dual-sided black sandblasted laser-carved build plate,no,spring-and-shim resin platform mount,yes,no,no,-,-,automatic internal,unknown,n/a,no,n/a,shims,n/a,n/a,n/a,"Resin adhesion surface affects release force, not FDM mesh",Built-in spring/shim mechanism; do not apply FDM turn workflow,Mechanical sensor workflow is platform-specific,medium,resin-platform-auto-level,"Treat this as a Z-platform levelling stack, not a screw-turn bed solver",high,S018;S019
