app_mapping_id,printer_id,variant_id,recommended_mount_preset,recommended_max_step_turns,recommended_hot_mesh,recommended_cold_mesh_warning,bed_material_warning,mount_material_warning,probe_material_interaction_warning,expected_adjustment_repeatability,suggested_solver_mode,notes,confidence,source_ids
AM001,P001,-,fixed bed,0,yes,yes,Flexible steel plate plus surface choice; inspect magnet debris,Fixed mount; no screw-turn workflow,LiDAR and force-sensor workflow depends on approved plate stack,high,fixed-bed-mesh,Recalibrate or reconfirm after changing plate surface family,medium,S001;S002
AM002,P002,-,fixed bed,0,yes,yes,PEI flex plate can trap debris under sheet,Fixed mount; no screw-turn workflow,Nozzle-contact probing requires clean nozzle and plate,medium-high,fixed-bed-mesh,Use hot mesh for high bed-temperature engineering prints even though machine is highly automated,medium,S003
AM003,P003,V003/V004,fixed bed,0,yes,yes,Magnetic steel sheet type affects contact/adhesion,Fixed mount; no screw-turn workflow,Loadcell/nozzle-contact style needs clean nozzle and sheet,high,loadcell-first-layer,Prefer fully warmed bed and sheet for repeatable contact probing,high,S005;S006;S007
AM004,P004,-,unknown,0.25,yes,yes,PEI flex-plate debris warning,Stock mount details not public; do not assume spring/silicone stack,CR-Touch is surface-independent compared with inductive-only systems,medium,mesh-plus-babystep,"Treat any manual Z tweak as babystep, not bed-screw correction",medium,S010;S011
AM005,P005,-,fixed bed,0,yes,yes,Dual-sided PEI plate seating matters,Fixed mount; no screw-turn workflow,Dual-sensor ABL reduces but does not eliminate plate-stack bias,high,heated-chamber-mesh,Do chamber warm-soak before final mesh on warp-prone materials,high,S013
AM006,P006,-,fixed bed,0,yes,yes,PEI sheet seating and bed cleanliness matter,No bed-screw workflow; QGL is gantry correction,Inductive + pressure sensor stack means metallic plate and nozzle state both matter,high,qgl-plus-mesh,"On flying-gantry systems, run QGL before mesh and after heat soak",high,S015
AM007,P007,-,fixed bed,0,yes,no,Glass surface: avoid forcing corners; use minimal corrective intervention,Fixed mount,Capacitive scan references glass surface directly,high,glass-active-level,Prefer diagnostics over manual compensation when first layer drifts,medium,S016
AM008,P008,-,fixed bed,0,yes,yes,Magnetic spring-steel sheet in 90 °C chamber needs full soak,Fixed bed; no screw-turn workflow,Loadcell/nozzle-contact requires clean nozzle,high,heated-chamber-loadcell,Chamber temperature is a first-order calibration variable,high,S009
AM009,P010,V005/V006,fixed bed,0,yes,yes,Large PEI surfaces magnify debris effects,Automatic tilt levelling; no hand-turn workflow,BLTouch-class probes need good mount rigidity over large spans,medium,auto-tilt-large-format,Large-format beds benefit from staged warm-up before tilt and mesh,high,S021
AM010,P011,-,shims,n/a,n/a,n/a,"Resin adhesion surface affects release force, not FDM mesh",Built-in spring/shim mechanism; do not apply FDM turn workflow,Mechanical sensor workflow is platform-specific,medium,resin-platform-auto-level,"Treat this as a Z-platform levelling stack, not a screw-turn bed solver",high,S018;S019
